;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
02/01/2017;11 - 12;253,13;260,71;260,71;260,71;260,71;260,71;260,71;260,71;260,71;235,43;235,43;241,38;241,38;241,38;260,71;260,71;260,71
02/01/2017;12 - 13;250,08;259,07;259,07;259,07;259,07;259,07;259,07;259,07;259,07;235,06;235,06;237;237;237;259,07;259,07;259,07
02/01/2017;13 - 14;249,71;257,96;257,96;257,96;257,96;257,96;257,96;257,96;257,96;235,36;235,36;240,79;240,79;240,79;257,96;257,96;257,96
02/01/2017;14 - 15;251,34;258,7;258,7;258,7;258,7;258,7;258,7;258,7;258,7;235,51;235,51;244,28;244,28;244,28;258,7;258,7;258,7
02/01/2017;15 - 16;256,4;267,1;267,1;267,1;267,1;267,1;267,1;267,1;267,1;236,77;236,77;245,25;245,25;245,25;267,1;267,1;267,1
02/01/2017;16 - 17;261,38;278,92;278,92;278,92;278,92;278,92;278,92;278,92;278,92;237,07;237,07;242,79;242,79;242,79;278,92;278,92;278,92
02/01/2017;17 - 18;266,14;286,06;286,06;286,06;297,43;286,06;286,06;313,71;286,06;236,77;236,77;238,63;238,63;238,63;286,06;286,06;297,43
02/01/2017;18 - 19;258,93;274,17;274,17;274,17;291,19;274,17;274,17;291,19;274,17;236,18;236,18;236,18;236,18;236,18;274,17;274,17;291,19
02/01/2017;19 - 20;252,24;264,06;264,06;264,06;264,06;264,06;264,06;264,06;264,06;235,06;235,06;235,06;235,06;235,06;264,06;264,06;264,06
02/01/2017;20 - 21;248,44;261,9;261,9;261,9;261,9;261,9;261,9;261,9;261,9;233,87;233,87;233,87;233,87;233,87;261,9;261,9;261,9
02/01/2017;21 - 22;245,99;258,26;258,26;258,26;258,26;258,26;258,26;258,26;258,26;232,76;232,76;232,76;232,76;232,76;258,26;258,26;258,26
02/01/2017;22 - 23;238,78;245,25;245,25;245,25;245,25;245,25;245,25;245,25;237,59;231,2;231,2;231,2;231,2;231,2;245,25;245,25;245,25
02/01/2017;23 - 00;229,93;230,01;230,01;230,01;230,01;230,01;229,64;230,01;229,64;229,64;229,64;229,64;229,64;229,64;230,01;230,01;230,01
03/01/2017;00 - 01;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85
03/01/2017;01 - 02;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77;225,77
03/01/2017;02 - 03;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14;224,14
03/01/2017;03 - 04;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06;224,06
03/01/2017;04 - 05;226,07;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99;225,99
03/01/2017;05 - 06;232,68;239,67;239,67;239,67;239,67;239,67;228,6;239,67;228,6;228,6;228,6;228,6;228,6;228,6;239,67;239,67;239,67
03/01/2017;06 - 07;238,93;249,04;249,04;249,04;249,04;249,04;230,6;249,04;249,04;230,6;230,6;230,6;230,6;230,6;249,04;249,04;249,04
03/01/2017;07 - 08;250,67;266,14;266,14;266,14;266,14;266,14;234,77;266,14;266,14;234,77;234,77;234,77;234,77;234,77;266,14;266,14;266,14
03/01/2017;08 - 09;255,66;273,42;273,42;273,42;273,42;273,42;236,18;273,42;273,42;236,18;236,18;246,21;246,21;246,21;273,42;273,42;273,42
03/01/2017;09 - 10;251,27;268,89;268,89;268,89;268,89;268,89;245,02;268,89;268,89;233,58;233,58;250,97;250,97;250,97;268,89;268,89;268,89
03/01/2017;10 - 11;247,11;263,16;263,16;263,16;263,16;263,16;232,31;263,16;263,16;232,31;232,31;250,23;250,23;250,23;263,16;263,16;263,16
03/01/2017;11 - 12;243,69;259,6;259,6;259,6;259,6;259,6;229,12;259,6;259,6;229,12;232,31;250,08;250,08;250,08;259,6;259,6;259,6
03/01/2017;12 - 13;242,2;258,78;258,78;258,78;258,78;258,78;226,74;258,78;253,28;226,74;232,02;252,46;252,46;252,46;258,78;258,78;258,78
03/01/2017;13 - 14;239,37;253,43;253,43;253,43;253,43;253,43;224,58;253,43;253,43;224,58;232,16;253,43;253,43;253,43;253,43;253,43;253,43
03/01/2017;14 - 15;238,78;254,61;254,61;254,61;254,61;254,61;223,17;254,61;254,61;223,17;232,16;254,61;254,61;254,61;254,61;254,61;254,61
03/01/2017;15 - 16;238,63;256,55;256,55;256,55;256,55;256,55;220,86;256,55;244,36;220,86;232,68;256,55;256,55;256,55;256,55;256,55;256,55
03/01/2017;16 - 17;240,19;259,74;259,74;259,74;259,74;259,82;221,46;259,74;259,74;221,46;232,91;259,74;259,74;259,74;259,82;259,82;259,82
03/01/2017;17 - 18;239,23;257,14;257,14;257,14;257,14;257,14;222,28;257,14;257,14;222,28;232,83;257,14;257,14;257,14;257,14;257,14;257,14
03/01/2017;18 - 19;236,92;253,2;253,2;253,2;253,2;253,2;221,38;253,2;253,2;221,38;232,61;252,68;252,68;252,68;253,2;253,2;253,2
03/01/2017;19 - 20;232,61;244,8;244,8;244,8;244,8;244,8;219,75;244,8;236,55;219,75;232,16;244,8;244,8;244,8;244,8;244,8;244,8
03/01/2017;20 - 21;228,15;236,4;236,4;236,4;236,4;236,4;218,56;236,4;236,4;218,56;231,79;236,4;236,4;236,4;236,4;236,4;236,4
03/01/2017;21 - 22;223,47;226,81;226,81;226,81;226,81;226,81;182,58;195,59;226,81;218,56;226,81;226,81;226,81;226,81;226,81;226,81;226,81
03/01/2017;22 - 23;217,59;217,59;217,59;217,59;217,59;217,59;132,1;132,1;217,59;217,59;217,59;217,59;217,59;217,59;217,59;217,59;217,59
03/01/2017;23 - 00;210,38;211,57;211,57;211,57;211,57;211,57;0,89;70,55;211,57;211,57;211,57;211,57;211,57;211,57;211,57;211,57;211,57
04/01/2017;00 - 01;197,97;192,76;192,76;192,76;192,76;192,76;0,82;0,82;207,93;207,93;207,93;192,76;192,76;192,76;192,76;192,76;192,76
04/01/2017;01 - 02;194,77;188,9;188,9;188,9;188,9;188,9;-0,37;-0,37;207,78;207,78;207,78;188,9;188,9;188,9;188,9;188,9;188,9
04/01/2017;02 - 03;192,24;188,45;188,45;188,45;188,45;188,45;-46,61;-46,61;206,37;206,37;206,37;188,45;188,45;188,45;188,45;188,45;188,45
04/01/2017;03 - 04;193,14;189,2;189,2;189,2;189,2;189,2;-37,84;-37,84;206,29;206,29;206,29;189,2;189,2;189,2;189,2;189,2;189,2
04/01/2017;04 - 05;195,96;193,06;193,06;193,06;193,06;193,06;0,45;0,45;205,25;205,25;205,25;193,06;193,06;193,06;193,06;193,06;193,06
04/01/2017;05 - 06;205,33;207,19;207,19;207,19;207,19;207,19;78,43;78,43;207,19;207,19;207,19;207,19;207,19;207,19;207,19;207,19;207,19
04/01/2017;06 - 07;214,4;214,99;214,99;214,99;214,99;214,99;81,63;93,3;214,99;213,88;214,99;214,99;214,99;214,99;214,99;214,99;214,99
04/01/2017;07 - 08;226,22;227,85;227,85;227,85;227,85;227,85;227,85;227,85;227,85;220,64;227,85;227,85;227,85;227,85;227,85;227,85;227,85
04/01/2017;08 - 09;232,68;238,85;238,85;238,85;238,85;238,85;226,29;238,85;231,87;226,29;231,87;238,85;238,85;238,85;238,85;238,85;238,85
04/01/2017;09 - 10;236,48;247,33;247,33;247,33;247,33;247,33;226,29;247,33;231,87;226,29;231,87;247,33;247,33;247,33;247,33;247,33;247,33
04/01/2017;10 - 11;237,52;249,19;249,19;249,19;249,19;249,19;227,26;249,19;232,31;227,26;232,31;249,19;249,19;249,19;249,19;249,19;249,19
04/01/2017;11 - 12;239,08;252,24;252,24;252,24;252,24;252,24;227,63;252,24;252,24;227,63;231,94;252,24;252,24;252,24;252,24;252,24;252,24
04/01/2017;12 - 13;238,26;252,24;252,24;252,24;252,24;252,24;228,6;252,24;238,11;228,6;231,64;252,24;252,24;252,24;252,24;252,24;252,24
04/01/2017;13 - 14;238,48;252,31;252,31;252,31;252,31;252,31;228,08;252,31;234,25;228,08;231,57;252,31;252,31;252,31;252,31;252,31;252,31
04/01/2017;14 - 15;241,53;253,87;253,87;253,87;253,87;253,87;228,45;253,87;238,26;228,45;231,72;253,87;253,87;253,87;253,87;253,87;253,87
04/01/2017;15 - 16;247,7;262,42;262,42;262,42;262,42;262,42;229,26;262,42;243,61;229,26;232,91;262,42;262,42;262,42;262,42;262,42;262,42
04/01/2017;16 - 17;253,5;269,71;269,71;269,71;269,71;269,71;232,09;269,71;238,26;232,09;234,02;269,71;269,71;269,71;269,71;269,71;269,71
04/01/2017;17 - 18;256,47;273,65;273,65;273,65;273,65;273,65;233,95;273,65;238,04;233,95;233,95;273,65;273,65;273,65;273,65;273,65;273,65
04/01/2017;18 - 19;251,27;264,28;264,28;264,28;264,28;264,28;232,61;264,28;238,19;232,61;232,76;264,28;264,28;264,28;264,28;264,28;264,28
04/01/2017;19 - 20;243,84;256,47;256,47;256,47;256,47;256,47;231,57;256,47;256,47;231,57;231,57;256,47;256,47;256,47;256,47;256,47;256,47
04/01/2017;20 - 21;238,71;251,94;251,94;251,94;251,94;251,94;230,68;251,94;251,94;230,68;230,83;251,94;251,94;251,94;251,94;251,94;251,94
04/01/2017;21 - 22;235,81;245,47;245,47;245,47;245,47;245,47;230,16;245,47;243,02;230,16;230,16;245,47;245,47;245,47;245,47;245,47;245,47
04/01/2017;22 - 23;233,13;240,34;240,34;240,34;240,34;240,34;229,49;240,34;238,26;229,49;229,49;240,34;240,34;240,34;240,34;240,34;240,34
04/01/2017;23 - 00;227,33;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;226,29;221,98;221,98;221,98
05/01/2017;00 - 01;226,51;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;226,81;219,22;174,25;174,25
05/01/2017;01 - 02;224,35;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;224,72;219,15;171,8;171,8
05/01/2017;02 - 03;222,79;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;223,01;219,22;171,27;171,27
05/01/2017;03 - 04;223,16;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;223,46;219,3;171,27;171,27
05/01/2017;04 - 05;227,25;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;227,55;224,72;224,72
05/01/2017;05 - 06;234,02;241,23;241,23;241,23;241,23;241,23;215,28;241,23;237,21;231,41;231,41;232,9;232,9;232,9;241,23;241,23;241,23
05/01/2017;06 - 07;249,03;259,22;259,22;259,22;259,22;259,22;251,41;259,22;244,65;235,28;235,28;251,93;251,93;250,22;259,22;259,22;259,22
05/01/2017;07 - 08;283,08;312,74;312,74;312,74;312,74;312,74;276,61;312,74;312,74;245,91;245,91;259,37;259,37;259,37;312,74;312,74;312,74
05/01/2017;08 - 09;309,69;322,48;322,48;322,48;322,48;322,48;289,77;322,48;322,48;289,77;259,74;259,74;259,74;259,74;322,48;322,48;322,48
05/01/2017;09 - 10;306,94;312,52;312,52;312,52;312,52;312,52;289,99;312,52;312,52;288,88;256,39;259,66;259,66;259,66;312,52;312,52;312,52
05/01/2017;10 - 11;314,15;319,95;319,95;319,95;319,95;319,95;319,95;319,95;319,95;252,01;252,01;273,86;273,86;273,86;319,95;319,95;319,95
05/01/2017;11 - 12;319,36;331,1;331,1;331,1;331,1;331,1;331,1;331,1;331,1;248,29;248,29;259,74;259,74;259,74;331,1;331,1;331,1
05/01/2017;12 - 13;314,97;331,25;331,25;331,25;331,25;331,25;331,25;331,25;331,25;245,17;245,17;253,49;253,49;253,49;331,25;331,25;331,25
05/01/2017;13 - 14;318,39;331,99;331,99;331,99;331,99;331,99;331,99;331,99;331,99;244,72;244,72;255,57;255,57;255,57;331,99;331,99;331,99
05/01/2017;14 - 15;320,25;334,45;334,45;334,45;334,45;334,45;334,45;334,45;334,45;244,57;244,57;256,32;256,32;256,32;334,45;334,45;334,45
05/01/2017;15 - 16;334;417,04;417,04;417,04;417,04;417,04;417,04;417,04;417,04;244,87;244,87;256,24;256,24;256,24;417,04;417,04;417,04
05/01/2017;16 - 17;376,45;518,14;518,14;518,14;518,14;518,14;518,14;518,14;518,14;260,85;244,87;249,7;249,7;249,7;518,14;518,14;518,14
05/01/2017;17 - 18;374,74;549,51;549,51;549,51;549,51;549,51;549,51;549,51;549,51;252,6;244,35;244,35;244,35;244,35;549,51;549,51;549,51
05/01/2017;18 - 19;357,64;535,16;535,16;535,16;535,16;535,16;535,16;535,16;535,16;248,73;242,79;242,79;242,79;240,41;535,16;535,16;535,16
05/01/2017;19 - 20;340,1;372,28;372,28;372,28;372,28;372,28;372,28;372,28;372,28;240,86;240,86;240,86;240,86;235,58;372,28;372,28;372,28
05/01/2017;20 - 21;312,29;333,7;333,7;333,7;333,7;333,7;333,7;333,7;333,7;239,59;239,59;239,59;239,59;231,79;333,7;333,7;333,7
05/01/2017;21 - 22;281,29;312,59;312,59;312,59;312,59;312,59;312,59;312,59;312,59;237,29;237,29;237,29;237,29;231,41;312,59;312,59;312,59
05/01/2017;22 - 23;259,81;276,69;276,69;276,69;276,69;276,69;276,69;276,69;267,1;235,06;235,06;235,06;235,06;223,16;273,27;273,27;273,27
05/01/2017;23 - 00;247,69;257,58;257,58;257,58;257,58;257,58;249,26;257,58;245,91;233,57;233,57;233,57;233,57;220,41;257,51;257,51;257,51
06/01/2017;00 - 01;246,72;266,42;266,42;266,42;266,42;266,42;266,42;266,42;232,82;232,82;232,82;232,82;232,82;198,11;232,3;232,3;232,3
06/01/2017;01 - 02;243,52;264,19;264,19;264,19;264,19;264,19;264,19;264,19;231,48;231,48;231,48;231,48;231,48;197,36;230,29;230,29;230,29
06/01/2017;02 - 03;237,43;257,13;257,13;257,13;257,13;257,13;257,13;257,13;231,18;231,18;231,18;231,18;231,18;196,84;230,22;230,22;230,22
06/01/2017;03 - 04;236,83;254,82;254,82;254,82;254,82;254,82;254,82;254,82;231,04;231,04;231,04;231,04;231,04;196,47;236,39;232,08;232,08
06/01/2017;04 - 05;236,31;253,93;253,93;253,93;253,93;253,93;253,93;253,93;231,18;231,18;231,18;231,18;231,18;196,4;251,18;236,46;236,46
06/01/2017;05 - 06;234,68;242,26;242,26;242,26;242,26;242,26;242,26;242,26;232,89;232,89;232,89;232,89;232,89;197,06;242,26;232,82;232,82
06/01/2017;06 - 07;241,96;255,12;255,12;255,12;255,12;255,12;255,12;255,12;235,87;235,87;235,87;235,87;235,87;203,16;255,12;255,12;255,12
06/01/2017;07 - 08;244,86;252,52;252,52;252,52;359,04;252,52;252,52;367,89;252,52;241,37;239,88;239,88;239,88;205,84;252,52;252,52;252,52
06/01/2017;08 - 09;247,32;252,74;252,74;252,74;434,72;252,74;252,74;445,42;252,74;243,6;241,37;241,37;241,37;207,62;252,74;252,74;252,74
06/01/2017;09 - 10;247,54;253,11;253,11;253,11;253,11;253,11;241,59;446,02;253,11;241,59;241,59;241,59;241,59;208,07;253,11;253,11;253,11
06/01/2017;10 - 11;248,21;256,83;256,83;256,83;435,61;256,83;237,73;446,31;256,83;237,73;237,73;237,73;237,73;207,99;256,83;256,83;256,83
06/01/2017;11 - 12;245,16;257,05;257,05;257,05;418,59;257,05;233,79;428,92;257,05;233,79;233,79;233,79;233,79;207,84;257,05;257,05;257,05
06/01/2017;12 - 13;243,6;253,93;253,93;253,93;259,58;253,93;232,45;340,68;253,93;232,45;232,45;232,45;232,45;206,88;253,93;253,93;259,58
06/01/2017;13 - 14;242,41;252,15;252,15;252,15;288,57;252,15;229,4;340,31;250,36;229,4;231,78;231,78;231,78;206,43;252,15;252,15;288,57
06/01/2017;14 - 15;240,77;251,85;251,85;251,85;263,82;251,85;228,95;263,82;251,85;228,95;231,56;231,56;231,56;206,21;251,85;251,85;263,82
06/01/2017;15 - 16;242,19;255,57;255,57;255,57;269,39;259,58;227,25;269,39;252,82;227,25;231,56;231,56;231,56;205,84;259,58;259,58;269,39
06/01/2017;16 - 17;243,52;256,91;256,91;256,91;417,32;259,8;227,39;417,32;235,79;227,39;231,11;231,11;231,11;205,02;259,8;259,8;302,84
06/01/2017;17 - 18;243,52;255,05;255,05;255,05;413,46;258,17;229,7;413,46;246,87;229,7;230,59;230,59;230,59;204,28;258,17;258,17;311,39
06/01/2017;18 - 19;240,33;253,93;253,93;253,93;308,27;258,02;228,29;308,27;230,22;228,29;230,22;230,22;230,22;203,75;258,02;258,02;308,27
06/01/2017;19 - 20;234,38;246,13;246,13;246,13;265,01;248,43;225,76;265,01;228,21;225,76;228,21;228,21;228,21;203,31;248,43;248,43;265,01
06/01/2017;20 - 21;230,07;238,84;238,84;238,84;238,84;238,84;225,09;238,84;227,54;225,09;227,54;227,54;227,54;203,01;238,84;238,84;238,84
06/01/2017;21 - 22;226,2;234,6;234,6;234,6;234,6;234,6;223,6;234,6;223,6;223,6;223,6;223,6;223,6;202,19;234,6;234,6;234,6
06/01/2017;22 - 23;221,37;224,35;224,35;224,35;224,35;224,35;221,6;224,35;221,6;221,6;221,6;221,6;221,6;197,06;224,35;224,35;224,35
06/01/2017;23 - 00;214,53;215,65;215,65;215,65;215,65;215,65;215,65;215,65;215,65;215,65;215,65;215,65;215,65;196,62;215,65;215,65;215,65
07/01/2017;00 - 01;216,55;218,18;218,18;218,18;218,18;218,18;218,18;218,18;218,18;218,18;218,18;218,18;218,18;194,99;218,18;218,18;218,18
07/01/2017;01 - 02;211,12;214,69;214,69;214,69;214,69;214,69;203,09;214,69;214,69;214,69;214,69;214,69;214,69;194,32;214,69;214,69;214,69
07/01/2017;02 - 03;207,33;210,23;210,23;210,23;210,23;210,23;200,56;210,23;210,23;210,23;210,23;210,23;210,23;193,72;210,23;210,23;210,23
07/01/2017;03 - 04;203,39;206,96;206,96;206,96;206,96;206,96;200,19;206,96;206,96;206,96;206,96;206,96;206,96;193,28;206,96;206,96;206,96
07/01/2017;04 - 05;205,92;208,44;208,44;208,44;208,44;208,44;203,98;208,44;208,44;208,44;208,44;208,44;208,44;193,28;208,44;208,44;208,44
07/01/2017;05 - 06;210;212,9;212,9;212,9;212,9;212,9;212,9;212,9;212,9;212,9;212,9;212,9;212,9;193,35;212,9;212,9;212,9
07/01/2017;06 - 07;214,09;216,32;216,32;216,32;216,32;216,32;216,32;216,32;216,32;216,32;216,32;216,32;216,32;193,72;216,32;216,32;216,32
07/01/2017;07 - 08;217,74;219,22;219,22;219,22;219,22;219,22;219,22;219,22;219,22;219,22;219,22;219,22;219,22;194,39;219,22;219,22;219,22
07/01/2017;08 - 09;221,9;222,79;222,79;222,79;222,79;222,79;222,79;222,79;222,79;222,79;222,79;222,79;222,79;195,14;222,79;222,79;222,79
07/01/2017;09 - 10;226,06;228,37;228,37;228,37;228,37;228,37;226,81;228,37;228,37;226,81;226,81;226,81;226,81;195,43;228,37;228,37;228,37
07/01/2017;10 - 11;228,74;233,94;233,94;233,94;233,94;233,94;228,14;233,94;233,94;228,14;228,14;228,14;228,14;196,1;233,94;233,94;233,94
07/01/2017;11 - 12;230;237,14;237,14;237,14;237,14;237,14;228,52;237,14;237,14;228,52;228,52;228,52;228,52;196,33;237,14;237,14;237,14
07/01/2017;12 - 13;229,41;234,31;234,31;234,31;234,31;234,31;228,37;234,31;234,31;228,37;228,37;228,37;228,37;196,55;234,31;234,31;234,31
07/01/2017;13 - 14;228,96;232,83;232,83;232,83;232,83;232,83;228,22;232,83;232,83;228,22;228,22;228,22;228,22;196,7;232,83;232,83;232,83
07/01/2017;14 - 15;230,3;236,77;236,77;236,77;236,77;236,77;228,74;236,77;236,77;228,74;228,74;228,74;228,74;196,55;236,77;236,77;236,77
07/01/2017;15 - 16;234,61;244,05;244,05;244,05;244,05;244,05;229,85;244,05;244,05;229,85;229,85;229,85;229,85;196,85;244,05;244,05;244,05
07/01/2017;16 - 17;241,9;257,36;257,36;257,36;257,36;257,36;231,56;257,36;257,36;231,56;231,56;231,56;231,56;196,33;257,36;257,36;257,36
07/01/2017;17 - 18;244,72;261,52;261,52;261,52;262,56;261,52;233,64;262,56;261,52;233,64;233,64;233,64;233,64;196,18;261,52;262,56;262,56
07/01/2017;18 - 19;242,34;254,83;254,83;254,83;254,83;254,83;233,72;254,83;254,83;233,72;233,72;233,72;233,72;195,95;254,83;254,83;254,83
07/01/2017;19 - 20;237,66;247,92;247,92;247,92;247,92;247,92;231,79;247,92;247,92;231,79;231,79;231,79;231,79;195,81;247,92;247,92;247,92
07/01/2017;20 - 21;233,72;242,86;242,86;242,86;242,86;242,86;230,82;242,86;242,86;230,82;230,82;230,82;230,82;195,43;242,86;242,86;242,86
07/01/2017;21 - 22;232,23;241,97;241,97;241,97;241,97;241,97;230,15;241,97;241,97;230,15;230,15;230,15;230,15;195,21;241,97;241,97;241,97
07/01/2017;22 - 23;230,3;236,69;236,69;236,69;236,69;236,69;229,18;236,69;236,69;229,18;229,18;229,18;229,18;194,99;236,69;236,69;236,69
07/01/2017;23 - 00;226,73;227,47;227,47;227,47;227,47;227,47;227,47;227,47;227,47;227,47;227,47;227,47;227,47;194,77;227,47;227,47;227,47
08/01/2017;00 - 01;227,61;228,58;228,58;228,58;228,58;228,58;228,58;228,58;228,58;228,58;228,58;228,58;228,58;194,01;228,58;228,58;228,58
08/01/2017;01 - 02;226,65;227,76;227,76;227,76;227,76;227,76;227,76;227,76;227,76;227,76;227,76;227,76;227,76;193,72;227,76;227,76;227,76
08/01/2017;02 - 03;225,09;226,94;226,94;226,94;226,94;226,94;226,94;226,94;226,94;226,94;226,94;226,94;226,94;193,35;226,94;226,94;226,94
